dist,force
5.978295963597762466e+02,0.000000000000000000e+00
6.045355887139621700e+02,0.000000000000000000e+00
6.114011916318679596e+02,0.000000000000000000e+00
6.180508579860205600e+02,0.000000000000000000e+00
6.235306126685982235e+02,0.000000000000000000e+00
6.276881975937068319e+02,0.000000000000000000e+00
6.309419575393575315e+02,0.000000000000000000e+00
6.329461354162222051e+02,0.000000000000000000e+00
6.339426205812167154e+02,0.000000000000000000e+00
6.342328802774421774e+02,0.000000000000000000e+00
6.343189724553288897e+02,0.000000000000000000e+00
6.338043620303725447e+02,0.000000000000000000e+00
6.332082813721705179e+02,0.000000000000000000e+00
6.325002198361175942e+02,0.000000000000000000e+00
6.319031273996439495e+02,0.000000000000000000e+00
6.309867047086688672e+02,8.000000000000000000e+00
6.296982924644523791e+02,nan
6.288506273836895843e+02,nan
6.277942364187899784e+02,nan
6.268473794421646517e+02,3.299999999999999822e+00
6.255452795228268315e+02,3.299999999999999822e+00
6.243053439664898860e+02,9.800000000000000711e+00
6.187978273785009833e+02,9.800000000000000711e+00
6.179805881884209384e+02,9.800000000000000711e+00
6.170979631444051847e+02,5.500000000000000000e+00
6.156372897268464612e+02,5.900000000000000355e+00
6.144247620101235725e+02,nan
6.133193944560034652e+02,6.099999999999999645e+00
6.116161445146590268e+02,6.900000000000000355e+00
6.101199485531691380e+02,6.900000000000000355e+00
6.085226977307385141e+02,6.900000000000000355e+00
6.071704108948861176e+02,6.900000000000000355e+00
6.055494824705500605e+02,nan
6.037304527780389662e+02,7.900000000000000355e+00
5.954149950325736427e+02,8.800000000000000711e+00
5.853006166463659383e+02,nan
5.829581718346079242e+02,1.150000000000000000e+01
5.801305155470752197e+02,nan
5.770379254452410578e+02,nan
5.741893401899246783e+02,1.259999999999999964e+01
5.720437951893312629e+02,nan
5.696865874687588303e+02,nan
5.675454486408900721e+02,1.350000000000000000e+01
5.654481992343019101e+02,1.350000000000000000e+01
5.625488537151210267e+02,1.430000000000000071e+01
5.610513029101016400e+02,nan
5.593344158701008837e+02,nan
5.582522764161603845e+02,1.519999999999999929e+01
5.568015190844436120e+02,nan
5.553987389995623971e+02,nan
5.539964141058795803e+02,1.630000000000000071e+01
5.512763646775415509e+02,nan
5.500295566590295948e+02,nan
5.486088381195899046e+02,1.830000000000000071e+01
5.475829332364223774e+02,nan
5.465143677436199141e+02,1.810000000000000142e+01
5.460344702649789497e+02,1.830000000000000071e+01
5.448637023415667500e+02,1.880000000000000071e+01
